"dataset","backend","graph_mode","knn_recall_at_k","affinity_edge_jaccard","affinity_weight_pearson","affinity_weight_spearman","affinity_weight_l1_similarity","umap_graph_edge_jaccard","umap_graph_weight_pearson","umap_graph_weight_spearman","umap_graph_weight_l1_similarity","validation_sample_n","suite","profile","source_file"
"FashionMNIST","cpu","fuzzy",0.999966666666667,0.999908846451848,0.999803956292645,1,0.999966666666667,0.999908846451848,0.99998922025927,0.999998732740387,0.999965816390475,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260727_073247_1118055/knn_affinity_umap_graph_agreement.csv"
"FashionMNIST","cpu","binary",0.999966666666667,0.999908846451848,0.999803956292645,1,0.999966666666667,0.999908846451848,-4.55788514129444e-05,,0.999954421148587,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260727_073247_1118055/knn_affinity_umap_graph_agreement.csv"
"FashionMNIST","cuda","fuzzy",1,1,1,1,1,1,0.999999999956214,0.999991247274111,0.999998583732913,2000,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cuda/20260727_073247_1118066/knn_affinity_umap_graph_agreement.csv"
"FashionMNIST","cuda","binary",1,1,1,1,1,1,,,1,2000,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cuda/20260727_073247_1118066/knn_affinity_umap_graph_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files","cpu","fuzzy",0.999916666666667,0.999773108862368,0.999515061982836,0.999999881112605,0.999916864462761,0.999773108862368,0.999988234113678,0.999992757677693,0.999955987834978,2000,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/landmark/cpu1/20260728_121111_1118082/knn_affinity_umap_graph_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files","cpu","binary",0.999916666666667,0.999773108862368,0.999515061982836,0.999999881112605,0.999916864462761,0.999773108862368,-0.000113458440173364,,0.999886541559827,2000,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/landmark/cpu1/20260728_121111_1118082/knn_affinity_umap_graph_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files","cpu","fuzzy",0.999916666666667,0.999773108862368,0.999515061982836,0.999999881112605,0.999916864462761,0.999773108862368,0.999988234113678,0.999992757677693,0.999955987834978,2000,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/landmark/cpu4/20260727_073316_1118093/knn_affinity_umap_graph_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files","cpu","binary",0.999916666666667,0.999773108862368,0.999515061982836,0.999999881112605,0.999916864462761,0.999773108862368,-0.000113458440173364,,0.999886541559827,2000,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/landmark/cpu4/20260727_073316_1118093/knn_affinity_umap_graph_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files","cuda","fuzzy",1,1,0.999999999999994,0.999999999662407,0.999999988315004,1,0.999999999923857,0.999981986792142,0.999996876745564,2000,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/landmark/cuda/20260727_091838_1118104/knn_affinity_umap_graph_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files","cuda","binary",1,1,0.999999999999994,0.999999999662407,0.999999988315004,1,,,1,2000,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/landmark/cuda/20260727_091838_1118104/knn_affinity_umap_graph_agreement.csv"
